u,DY_gamma0.0,DY_gamma0.001,DY_gamma0.01,DY_gamma0.05,DY_gamma0.1,DY_gamma0.5,DY_gamma1.0
-1.0,0.0009491541646072243,0.0013136668763504833,0.007966934457972724,0.021774547805387207,0.029990282578930855,0.04070962317354971,0.03782833722043703
-0.9646464646464646,0.0009844701434932879,0.0013724971010755094,0.008434329735062807,0.023252269438415116,0.03208703396377391,0.043641159254985594,0.040549373564535106
-0.9292929292929293,0.001017877315879434,0.0014301894570104001,0.008913051964059254,0.02480015153769971,0.034293462971061534,0.046740260869762136,0.04342540869192839
-0.8939393939393939,0.0010489368690285161,0.001486194966657639,0.00940093675408038,0.026416790007653318,0.036609446201605084,0.05000952971549967,0.04645874119493473
-0.8585858585858586,0.001077212646710457,0.001539941230056463,0.009895455151574833,0.028099895489282198,0.03903378234230559,0.053450371778661895,0.049650543100918126
-0.8232323232323232,0.0011022846376432804,0.001590844661312929,0.010393710194938205,0.029846189262549713,0.04156403644451895,0.05706278282465754,0.05300065940959876
-0.7878787878787878,0.0011237641907293483,0.0016383252531663173,0.01089244329554434,0.031651302356416805,0.04419638141540093,0.06084512151886204,0.05650739629058195
-0.7525252525252526,0.0011413104552920883,0.0016818236183419044,0.011388052195257015,0.033509681744354064,0.046925440832865914,0.06479387376580083,0.06016730136135491
-0.7171717171717171,0.0011546473230351628,0.0017208198315502576,0.011876622051305796,0.03541450816168673,0.04974413816504125,0.06890341307156372,0.06397494061516236
-0.6818181818181819,0.0011635799257067037,0.0017548533538539468,0.01235397084297335,0.037357630677269826,0.0526435584580916,0.07316576306255759,0.0679226778224931
-0.6464646464646464,0.0011680095520888445,0.0017835430702978217,0.012815709753918436,0.03932952362097347,0.0556128294882354,0.07757036968613704,0.07200046354212107
-0.6111111111111112,0.0011679457120581382,0.0018066062492314572,0.013257318461921186,0.04131927174029096,0.05863903017830002,0.08210389200839226,0.0761956421853099
-0.5757575757575758,0.001163514051382264,0.001823875068142855,0.013674234369374316,0.04331458945254324,0.06170713466134298,0.08675002181951447,0.08049278679310878
-0.5404040404040404,0.0011549589200350319,0.0018353092825981188,0.01406195377439784,0.04530187969384997,0.06480000062560984,0.091489343346904,0.08487357220254621
-0.5050505050505051,0.0011426396671777583,0.0018410036831884025,0.01441614187922119,0.047266337068182396,0.06789841038558841,0.09629924512621549,0.08931669796841235
-0.4696969696969697,0.001127020178075977,0.0018411892192912171,0.01473274745310682,0.04919209871651037,0.07098117238216811,0.10115389634622021,0.09379787263127032
-0.43434343434343436,0.0011086517599215862,0.0018362270707735773,0.015008117029658707,0.05106244453324932,0.07402528943505049,0.10602429961677079,0.09828987054019817
-0.398989898989899,0.001088150191158599,0.001826595519911156,0.015239102860537923,0.052860046082579604,0.07700619799500205,0.11087843097515893,0.10276267132127673
-0.36363636363636365,0.0010661684649224679,0.0018128701522746038,0.01542315859519472,0.0545672608905054,0.07989807987513023,0.11568147594461406,0.1071836901313323
-0.3282828282828283,0.001043367390940908,0.0017956986377235529,0.01555841692217863,0.056166465860471304,0.08267424454906663,0.1203961675417517,0.11151810401101914
-0.29292929292929293,0.0010203866315672272,0.001775771983966612,0.015643744240700364,0.057640420592873165,0.08530757624375346,0.12498322832556538,0.11572927597710148
-0.25757575757575757,0.0009978188334408555,0.0017537946261571014,0.01567876882134933,0.0589726486493819,0.08777103596579156,0.12940191401523346,0.11977927409660455
-0.2222222222222222,0.0009761892157417185,0.0017304558910257173,0.015663880752202375,0.0601478225834049,0.09003820459847522,0.1336106510996973,0.12362947788265921
-0.18686868686868685,0.0009559422901280756,0.0017064052114870165,0.01560020406262641,0.06115213714661877,0.09208384965744498,0.1375677555408681,0.12724125926187174
-0.1515151515151516,0.0009374364185139594,0.0016822329550575388,0.015489543515590953,0.06197365470349209,0.09388449556855472,0.14123221452751628,0.13057672046805258
-0.11616161616161624,0.000920945830804154,0.0016584579513073683,0.015334310377197347,0.06260260767356096,0.09541897575951402,0.14456450869945986,0.13359946694374608
-0.08080808080808088,0.0009066687422681907,0.0016355218895487411,0.015137432759840808,0.06303164476202011,0.09666894466181397,0.14752744872926177,0.13627539006572498
-0.045454545454545525,0.0008947395312774997,0.0016137898891890323,0.014902256723986818,0.06325601067425574,0.0976193289735271,0.15008699795034003,0.1385734325792733
-0.010101010101010166,0.0008852426919929712,0.0015935558805943995,0.01463244417676679,0.06327365263289919,0.09825870013983296,0.15221305204017882,0.14046630919449515
0.025252525252525304,0.0008782264790123673,0.001575051086274648,0.014331872817288538,0.06308525094184358,0.09857955369764443,0.1538801476335957,0.1419311558941857
0.06060606060606055,0.0008737147125814637,0.0015584538894618527,0.014004542165480194,0.06269417465208327,0.09857848552532938,0.15506807401915534,0.14295008396277692
0.09595959595959602,0.0008717159254139073,0.0015438996580625641,0.013654488341771742,0.062106366733897356,0.09825625971030444,0.15576236551832912,0.1435106183205147
0.13131313131313127,0.000872229707444272,0.001531489539075892,0.013285708998158285,0.06133016582094353,0.09761776732007865,0.15595465646445772,0.1436060040995898
0.16666666666666652,0.0008752505911248099,0.0015212977145024897,0.01290209881698745,0.060376073498457306,0.09667187956602952,0.15564288562473294,0.14323537026384986
0.202020202020202,0.0008807700562936116,0.0015133770065018926,0.012507395368159258,0.059256477328725965,0.09543120256091842,0.15483134225576078,0.14240374422607277
0.23737373737373724,0.0008887772522583326,0.0015077629784405744,0.012105134811513207,0.05798534049609494,0.09391174408099756,0.1535305516447238,0.14112191677102898
0.2727272727272727,0.0008992589176983756,0.0015044768005137987,0.01169861684959328,0.05657786926797759,0.09213250549346752,0.1517570038982302,0.13940616207118584
0.30808080808080796,0.0009121988195512909,0.0015035271636633096,0.011290878355500134,0.05505016950572028,0.09011501431714397,0.14953273577626758,0.13727782310912273
0.3434343434343434,0.0009275768954045693,0.001504911486252758,0.010884675123947307,0.05341890323203957,0.08788281468122727,0.14688478129495697,0.13476277819594895
0.3787878787878787,0.0009453681930605695,0.001508616597215795,0.010482471171828212,0.05170095571385269,0.08546093408368327,0.1438445122566947,0.1318908091496268
0.41414141414141414,0.0009655416569418485,0.0015146190262518289,0.010086434941791733,0.04991312257835967,0.0828753451438049,0.1404468943234607,0.12869489564706904
0.4494949494949494,0.00098805879474273,0.0015228849919172172,0.009698441661024404,0.048071825114934796,0.08015244035568225,0.13672968726899315,0.12521046284101434
0.48484848484848486,0.0010128722565301285,0.0015333701543733813,0.009320081011940373,0.046192860172342254,0.07731853616581863,0.1327326192989261,0.12147461024159933
0.5202020202020201,0.0010399243628270716,0.001546019187337655,0.008952669205317898,0.04429118906576257,0.07439942015001866,0.12849656471794302,0.11752534902074496
0.5555555555555556,0.0010691456241832542,0.0015607652187907828,0.008597264524852544,0.042380767832229105,0.07141995191144401,0.12406275191091398,0.11340087247299258
0.5909090909090908,0.0011004533001239825,0.0015775291904662758,0.008254685435761133,0.040474419197586875,0.06840372488289248,0.11947202493635489,0.1091388807063699
0.6262626262626263,0.0011337500517303312,0.001596219188003234,0.007925530412054904,0.0385837448858839,0.06537279280598918,0.11476417746064593,0.10477597619016621
0.6616161616161615,0.001168922746339951,0.0016167297970027805,0.007610198726336614,0.036719075506566834,0.062347461531624626,0.1099773727465908,0.10034714199781514
0.6969696969696968,0.0012058414765340197,0.0016389415428601506,0.007308911552395658,0.034889454232170936,0.05934614410877459,0.10514765835341189,0.09588530982863508
0.7323232323232323,0.0012443588566319885,0.0016627204736556767,0.007021732842788619,0.03310264982264488,0.056385274990582546,0.10030857942335702,0.09142102046549849
0.7676767676767675,0.0012843096582998426,0.0016879179449018622,0.0067485895548660135,0.03136519422485373,0.05347927761281501,0.09549089015687795,0.0869821754272373
0.803030303030303,0.0013255108419919504,0.0017143706624885846,0.006489290903134215,0.029682439925152293,0.0506405785650863,0.09072235946429785,0.08259387533457252
0.8383838383838382,0.0013677620321234096,0.00174190103388705,0.006243546409725131,0.028058632401812944,0.04787966102926822,0.08602766391208416,0.07827833798451644
0.8737373737373737,0.0014108464714502889,0.0017703178689967292,0.006010982606601933,0.026496993355074938,0.04520515003129122,0.081428358981252,0.07405488733248633
0.909090909090909,0.0014545324732853082,0.0017994174595934442,0.005791158311536315,0.024999810833352898,0.0426239222629784,0.076942918296111,0.06994000347221874
0.9444444444444444,0.0014985753704545024,0.0018289850508610428,0.005583578455688798,0.023568532879123416,0.040141233699139134,0.072586829798718,0.06594742321433866
0.9797979797979797,0.0015427199366198074,0.0018587966996261862,0.0053877064833560695,0.02220386184873524,0.03776085888412528,0.0683727377449449,0.06208828089688001
1.0151515151515151,0.0015867032313865437,0.0018886214937973156,0.00520297537636949,0.020905847086621243,0.03548523652168767,0.064310619772594,0.058371279514531915
1.0505050505050506,0.0016302577952600483,0.0019182240855046828,0.005028797376820604,0.01967397413415417,0.03331561681295736,0.06040798902785338,0.05480288301664782
1.0858585858585856,0.0016731150974129694,0.0019473674689730602,0.00486457249458494,0.018507249109919965,0.03125220680049057,0.05667011232434438,0.051387521598928454
1.121212121212121,0.001715009118578914,0.0019758159146020526,0.00470969589127046,0.0174042773040346,0.02929431075559885,0.053100236449695415,0.0481278029087282
1.1565656565656566,0.0017556799362870024,0.002003337953954354,0.004563564231483963,0.016363335377086674,0.027440463365561718,0.04969981594296957,0.045024723222512275
1.191919191919192,0.0017948771707100297,0.002029709299122051,0.0044255810871290935,0.015382436846501757,0.02568855411944737,0.04646873687413389,0.042077873777662256
1.227272727272727,0.0018323631485076541,0.002054715574063337,0.00429516147208342,0.014459390779751446,0.02403594184863922,0.0434055323107293,0.03928563850093825
1.2626262626262625,0.0018679156489871396,0.0020781547371545583,0.004171735574368007,0.013591853799915121,0.022479558847791847,0.040507586220539626,0.03664538034519349
1.297979797979798,0.001901330112491162,0.002099839082738031,0.004054751742526452,0.012777375650170009,0.021016004386636866,0.03777132350822765,0.03415361430248154
1.333333333333333,0.0019324212134244068,0.0021195967252505277,0.003943678772553194,0.012013438664940423,0.019641627728317457,0.0351923847065333,0.031806165897551586
1.3686868686868685,0.001961023728916933,0.0021372724912037677,0.003838007533803922,0.011297491564115303,0.018352601003592817,0.0327657845356959,0.029598314581455898
1.404040404040404,0.001986992666676901,0.0021527281711181123,0.0037372519661938997,0.010626978026976985,0.01714498246180174,0.030486054111833027,0.027524921943267278
1.4393939393939394,0.002010202649963655,0.002165842113081684,0.0036409494785645258,0.00999936052206607,0.016014770737020623,0.02834736703420704,0.02558054504890428
1.4747474747474745,0.002030546591457072,0.00217650817065429,0.003548660778781021,0.009412139870866865,0.014957950841884893,0.02634364992526317,0.023759535511956087
1.51010101010101,0.002047933719606987,0.0021846340481013193,0.0034599691707820623,0.008862871013123663,0.013970532639484445,0.024468678247147158,0.02205612511251198
1.5454545454545454,0.0020622870489162004,0.0021901391140111137,0.003374479361709093,0.008349175422512234,0.013048582553998989,0.022716158390391317,0.020464498921687446
1.5808080808080809,0.002073540408534802,0.002192951779196317,0.0032918158334453995,0.007868750597193497,0.012188249269890816,0.02107979713535546,0.01897885697200874
1.616161616161616,0.0020816351617733986,0.002193006555355703,0.003211620846968799,0.007419377022791496,0.011385784143379318,0.01955335963932403,0.017593465550097886
1.6515151515151514,0.002086516762231705,0.002190240927527287,0.0031335521636965957,0.0069989229782849716,0.010637557013618015,0.018130717112263883,0.01630269918744809
1.6868686868686869,0.002088131301551832,0.0021845921863830053,0.0030572805859264696,0.006605347529364924,0.009940068058784446,0.016805885322258796,0.015101074396783765
1.7222222222222223,0.0020864222103498253,0.00217599437638738,0.002982487436898551,0.006236702031073071,0.009289956296630875,0.015573055026387395,0.013983276153579305
1.7575757575757573,0.0020813272792887805,0.0021643755242525264,0.002908862120207578,0.00589113044243017,0.008684005283825624,0.014426615361118889,0.01294417806015924
1.7929292929292928,0.002072776172157731,0.0021496553199829016,0.002836099917484791,0.0055668687408518824,0.008119146523470344,0.013361171154163132,0.011978857059596115
1.8282828282828283,0.002060688609158645,0.002131743430445976,0.002763900201752767,0.005262243713527792,0.007592461049024779,0.012371555041774007,0.011082603491906151
1.8636363636363633,0.0020449734054581725,0.002110538633887993,0.002691965260763318,0.004975671395714754,0.007101179612838737,0.011452835194765698,0.010250927208491412
1.8989898989898988,0.0020255285570442982,0.0020859289709951323,0.0026199999384763917,0.00470565542040613,0.006642681871451117,0.010600319376497747,0.009479560386320696
1.9343434343434343,0.002002242570709911,0.0020577931130471017,0.002547712311155137,0.004450785537986501,0.006214494923622471,0.00980955597724098,0.008764457610368481
1.9696969696969697,0.0019749972333783505,0.00202600314532031,0.0024748156137230914,0.004209736554424248,0.005814291520439441,0.009076332593918157,0.0081017937247847
2.0050505050505047,0.0019436720019038178,0.0019904289498157146,0.0024010316170188784,0.003981267917580578,0.005439888226363876,0.008396672651785453,0.007487959889143081
2.04040404040404,0.001908150160848443,0.001950944336432836,0.002326095620834856,0.0037642241482485073,0.005089243761363993,0.007766830495758326,0.006919558217334365
2.0757575757575757,0.0018683268330810243,0.0019074350090942938,0.002249763164137164,0.0035575362585109627,0.004760457694588993,0.007183285313523302,0.006393395322715323
2.111111111111111,0.0018241188273903086,0.0018598083523870823,0.0021718184539388785,0.0033602242199189947,0.004451769584039478,0.006642734189852506,0.005906475044491488
2.146464646464646,0.0017754761616978199,0.00180800487899202,0.002092084373289671,0.003171400432483207,0.004161558562996492,0.006142084532089531,0.005455990586635706
2.1818181818181817,0.0017223949065376942,0.001752010985415664,0.0020104337438916486,0.0029902740027826225,0.0038883432615043345,0.005678446050399688,0.005039316261505999
2.217171717171717,0.0016649307573265437,0.001691872428567498,0.0019268012962356806,0.002816155469210102,0.003630781824613738,0.005249122424198949,0.004653998996169584
2.2525252525252526,0.0016032124821856453,0.0016277076763104859,0.0018411955558103044,0.0026484614291807373,0.0033876716583099986,0.004851602739743832,0.004297749729455402
2.2878787878787876,0.0015374541370107853,0.0015597200318544502,0.0017537096177615563,0.002486718347880834,0.00315794841395578,0.004483552745011221,0.003968434802412046
2.323232323232323,0.0014679647373702087,0.001488207231803429,0.0016645295972332885,0.0023305646944157266,0.0029406836368726097,0.004142805939634453,0.0036640674232572
2.3585858585858586,0.0013951539846630556,0.0014135671267682115,0.0015739394601600454,0.0021797504954509384,0.002735080477861973,0.003827354501670599,0.0033827992708390653
2.3939393939393936,0.0013195327195777429,0.0013362981288127518,0.0014823210129601971,0.0020341334570712633,0.0025404669234875277,0.003535340051602609,0.003122912286912638
2.429292929292929,0.0012417070622894322,0.0012569933945716372,0.0013901480966936886,0.0018936710074295426,0.0023562861565487037,0.0032650442667129242,0.0028828106975060663
2.4646464646464645,0.0011623657072484805,0.0011763282173798961,0.0012979745029985112,0.0017584079612545933,0.0021820839124429003,0.00301487938469458,0.0026610132960619426
2.5,0.0010822605353167924,0.001095040791302404,0.0012064157698550293,0.001628459974423735,0.0020174930283166637,0.0027833786689066553,0.0024561460160135162
